Station,Date,Forecasted_Delay
Banaras,2025-07-18,3.93
Varanasi Jn,2025-07-18,4.01
Varanasi City,2025-07-18,4.48
Aunrihar Jn,2025-07-18,8.6
Sadat,2025-07-18,7.02
Jakhanian,2025-07-18,7.1
Dullahapur,2025-07-18,6.8
Mau Jn,2025-07-18,6.19
Indara Jn,2025-07-18,58.26
Kirihrapur,2025-07-18,63.27
Betihara Road,2025-07-18,35.85
Lar Road,2025-07-18,55.06
Salempur Jn,2025-07-18,50.8
Bhatni Jn,2025-07-18,53.59
Deoria Sadar,2025-07-18,58.22
Gauri Bazar,2025-07-18,74.75
Gorakhput Jn,2025-07-18,125.79
Banaras,2025-07-19,6.49
Varanasi Jn,2025-07-19,6.58
Varanasi City,2025-07-19,7.06
Aunrihar Jn,2025-07-19,11.93
Sadat,2025-07-19,7.07
Jakhanian,2025-07-19,7.41
Dullahapur,2025-07-19,6.87
Mau Jn,2025-07-19,0.75
Indara Jn,2025-07-19,29.02
Kirihrapur,2025-07-19,22.33
Betihara Road,2025-07-19,28.9
Lar Road,2025-07-19,48.68
Salempur Jn,2025-07-19,44.2
Bhatni Jn,2025-07-19,47.06
Deoria Sadar,2025-07-19,49.98
Gauri Bazar,2025-07-19,66.44
Gorakhput Jn,2025-07-19,97.89
Banaras,2025-07-20,5.2
Varanasi Jn,2025-07-20,5.26
Varanasi City,2025-07-20,5.59
Aunrihar Jn,2025-07-20,9.88
Sadat,2025-07-20,7.08
Jakhanian,2025-07-20,7.5
Dullahapur,2025-07-20,6.87
Mau Jn,2025-07-20,5.53
Indara Jn,2025-07-20,45.7
Kirihrapur,2025-07-20,51.1
Betihara Road,2025-07-20,30.7
Lar Road,2025-07-20,49.81
Salempur Jn,2025-07-20,45.39
Bhatni Jn,2025-07-20,48.19
Deoria Sadar,2025-07-20,51.48
Gauri Bazar,2025-07-20,67.77
Gorakhput Jn,2025-07-20,107.29
Banaras,2025-07-21,5.85
Varanasi Jn,2025-07-21,5.94
Varanasi City,2025-07-21,6.43
Aunrihar Jn,2025-07-21,11.15
Sadat,2025-07-21,7.08
Jakhanian,2025-07-21,7.53
Dullahapur,2025-07-21,6.87
Mau Jn,2025-07-21,1.33
Indara Jn,2025-07-21,36.18
Kirihrapur,2025-07-21,30.88
Betihara Road,2025-07-21,30.23
Lar Road,2025-07-21,49.61
Salempur Jn,2025-07-21,45.17
Bhatni Jn,2025-07-21,48.0
Deoria Sadar,2025-07-21,51.21
Gauri Bazar,2025-07-21,67.56
Gorakhput Jn,2025-07-21,104.12
Banaras,2025-07-22,5.52
Varanasi Jn,2025-07-22,5.59
Varanasi City,2025-07-22,5.95
Aunrihar Jn,2025-07-22,10.36
Sadat,2025-07-22,7.08
Jakhanian,2025-07-22,7.53
Dullahapur,2025-07-22,6.87
Mau Jn,2025-07-22,5.02
Indara Jn,2025-07-22,41.61
Kirihrapur,2025-07-22,45.09
Betihara Road,2025-07-22,30.35
Lar Road,2025-07-22,49.65
Salempur Jn,2025-07-22,45.21
Bhatni Jn,2025-07-22,48.03
Deoria Sadar,2025-07-22,51.26
Gauri Bazar,2025-07-22,67.59
Gorakhput Jn,2025-07-22,105.19
